title,publication_date,author,genre,average_rating,num_of_ratings,num_of_pages,rank,language,current_readers,already_read
Ride the Devil's Herd: Wyatt Earp's Epic Battle Against the West's Biggest Outlaw Gang,"March 17, 2020",John Boessenecker,History,3.96,668,512,1437,English,325,877
Love in Deed,"May 12, 2020",L.B. Dunbar,Romance,3.95,"1,647",374,1442,English,353,"3,180"
Hush-Hush,"December 29, 2020",Stuart Woods,Mystery,3.96,"5,983",334,1442,English,"2,826",955
The Midnight Bargain,"October 13, 2020",C.L. Polk,Fantasy,3.76,"15,140",386,1442,English,"1,078",39.6k
Apropos of Nothing,"March 23, 2020",Woody Allen,Nonfiction,4.02,"10,985",392,1442,English,"1,451","8,695"
Code of Honor,"March 24, 2020",April White,Romance,4.22,"2,013",336,1446,English,216,"3,529"
Shakeup,"October 13, 2020",Stuart Woods,Mystery,3.87,"5,183",320,1446,English,"2,638",940
The Tyrant Baru Cormorant,"August 11, 2020",Seth Dickinson,Fantasy,4.31,"4,159",752,1446,English,448,"5,115"
Deaths of Despair and the Future of Capitalism,"March 17, 2020",Anne Case,Economics,3.81,"2,193",312,1446,English,553,"9,161"
After the Climb,"April 4, 2020",Kristen Ashley,Romance,4.09,"7,193",441,1450,English,"2,029","2,891"
Julián at the Wedding,"October 6, 2020",Jessica Love,Picture Books,4.24,"2,017",34,1450,English,2,"3,792"
Tools of Engagement,"September 22, 2020",Tessa Bailey,Romance,3.74,"72,893",368,1450,English,"1,888",71.3k
Cat's Cafe,"May 26, 2020",Matt Tarpley,Graphic Novels,4.39,"3,010",168,1450,English,53,"2,041"
Overload: How Good Jobs Went Bad and What We Can Do about It,"March 17, 2020",Erin L. Kelly,Nonfiction,3.68,40,337,1454,English,14,234
A Secret for a Secret,"May 12, 2020",Helena Hunting,Romance,4.12,"24,679",305,1455,English,"3,351",20k
Fighting for Space: Two Pilots and Their Historic Battle for Female Spaceflight,"February 18, 2020",Amy Shira Teitel,Nonfiction,4.11,454,448,1455,English,83,"4,977"
The Hidden Girl and Other Stories,"February 25, 2020",Ken Liu,Short Stories,3.93,"7,072",432,1455,,"1,011",34.6k
Why We Can't Sleep: Women's New Midlife Crisis,"January 7, 2020",Ada Calhoun,Nonfiction,3.69,"8,735",260,1455,English,"1,684",38.3k
State of War: MS-13 and El Salvador's World of Violence,"January 14, 2020",William Adolphus Wheeler,Nonfiction,3.93,114,140,1459,English,21,210
Seasons of War,"April 13, 2020",Derek Landy,Fantasy,4.44,"4,334",592,1460,English,240,"3,360"
Those Who Go Forth into the Empty Place of Gods,"January 3, 2020",Curtis M. Lawson,Horror,3.56,75,,1460,English,26,236
Dream Maker,"May 26, 2020",Kristen Ashley,Romance,4.17,"10,631",544,1462,English,"1,455","8,885"
Dancing at the Pity Party: A Dead Mom Graphic Memoir,"April 14, 2020",Tyler Feder,Graphic Novels,4.51,"10,738",202,1462,English,171,17.3k
Antkind,"July 7, 2020",Charlie Kaufman,Fiction,3.71,"5,824",720,1462,English,"1,794",21.7k
Goddess in the Machine,"June 30, 2020",Lora Beth Johnson,Science Fiction,3.7,"3,995",400,1465,English,202,25.7k
The Gilded Ones,"May 1, 2020",Namina Forna,Fantasy,3.99,"51,923",432,1465,English,"2,629",182k
Wonderland,"July 14, 2020",Zoje Stage,Horror,3.11,"5,152",352,1465,English,246,15k
Disavow,"February 25, 2020",Karina Halle,Romance,4.03,"1,233",268,1468,English,249,"2,501"
Wayward Witch,"September 1, 2020",Zoraida Córdova,Fantasy,3.9,"1,767",336,1468,English,108,"7,377"
Alice Knott,"July 7, 2020",Blake Butler,Fiction,3.52,279,314,1468,English,55,"2,031"
A Lady's Guide to Mischief and Mayhem,"November 10, 2020",Manda Collins,Romance,3.44,"14,502",352,1471,English,881,28.4k
Bubblegum,"April 14, 2020",Adam Levin,Fiction,3.8,727,784,1471,English,186,"7,387"
Whiteout Conditions,"March 17, 2020",Tariq Shah,Fiction,3.64,305,81,1473,English,11,942
Escaping Monsters,"July 2, 2020",Rita Stradling,Reverse Harem,3.96,"2,143",321,1474,English,"1,290",853
The Relationship Pact,"December 17, 2020",Adriana Locke,Romance,4.2,"10,095",308,1474,English,"1,907",10.8k
Date Me Like You Mean It,"November 5, 2020",R.S. Grey,Romance,3.84,"5,874",305,1476,English,"1,235","2,700"
Child of Light: A Biography of Robert Stone,"March 17, 2020",Madison Smartt Bell,Nonfiction,4.19,95,624,1476,English,35,"2,113"
Tiny Nightmares: Very Short Stories of Horror,"October 13, 2020",Lincoln Michel,Horror,3.38,"2,042",289,1478,English,372,"7,648"
That Secret Crush,"February 11, 2020",Meghan Quinn,Romance,4.17,"16,896",351,1478,English,"3,616","7,748"
Ikenga,"August 18, 2020",Nnedi Okorafor,Fantasy,3.79,"1,928",229,1480,English,107,"6,130"
Riven Knight,"January 21, 2020",Devney Perry,Romance,4.15,"18,958",392,1480,English,"2,428",12.8k
"Polysecure: Attachment, Trauma and Consensual Nonmonogamy","October 23, 2020",Jessica Fern,Nonfiction,4.39,"12,922",290,1482,English,"5,061",20.2k
The Gringa,"March 10, 2020",Andrew Altschul,Fiction,4.14,171,433,1482,English,23,844
Black Tangled Heart,"May 15, 2020",Samantha Young,Romance,4.16,"3,773",374,1484,English,507,"4,647"
"Wine Girl: The Obstacles, Humiliations, and Triumphs of America's Youngest Sommelier","March 24, 2020",Victoria James,Nonfiction,3.54,"7,256",336,1484,English,347,"8,345"
The Baudelaire Fractal,"January 21, 2020",Lisa Robertson,Fiction,3.94,598,160,1484,English,79,"3,300"
A Favor for a Favor,"January 28, 2020",Helena Hunting,Sports Romance,4.13,"33,106",301,1487,English,"3,711",23.2k
Bone Crier's Moon,"March 3, 2020",Kathryn Purdie,Fantasy,3.65,"27,061",480,1487,English,"1,411",101k
"Monstress, Volume 5: Warchild","September 30, 2020",Marjorie M. Liu,Graphic Novels,4.34,"5,849",176,1487,English,119,"4,784"
Otaku,"March 3, 2020",Chris Kluwe,Science Fiction,3.53,593,352,1487,English,43,"2,826"
The Worst of All Possible Worlds,"July 28, 2020",Alex White,Science Fiction,4.25,"1,775",487,1491,English,192,"2,129"
Angry God,"February 15, 2020",L.J. Shen,Romance,4.18,"51,757",386,1491,English,"9,496",52.1k
Truel1f3,"June 30, 2020",Jay Kristoff,Science Fiction,4.03,"2,964",480,1493,,106,"4,960"
Flames of Chaos,"January 20, 2020",Amelia Hutchins,Fantasy,3.76,"21,442",563,1493,English,"5,201",69.1k
See Me After Class,"November 12, 2020",Meghan Quinn,Romance,4.15,"15,006",430,1495,English,"5,717",10.5k
Gretchen and the Bear,"June 17, 2020",Carrie Anne Noble,Fantasy,4.12,255,286,1495,English,77,360
Re-Coil,"March 3, 2020",J.T. Nicholas,Science Fiction,3.6,796,384,1495,English,90,852
Dark Tides,"November 24, 2020",Philippa Gregory,Historical Fiction,3.85,"15,508",464,1498,English,"2,846",20.5k
A Righteous Man,"December 27, 2020",Jay Crownover,Romance,4.12,"1,015",307,1498,English,166,611
Opium and Absinthe,"July 1, 2020",Lydia Kang,Historical Fiction,3.94,"21,871",379,1498,English,10.1k,40.7k
All This Marvelous Potential: Robert Kennedy's 1968 Tour of Appalachia,"March 3, 2020",Matthew Algeo,History,4.14,192,268,1502,English,15,"1,810"
The Land Beyond the Sea,"March 3, 2020",Sharon Kay Penman,Historical Fiction,4.35,"2,118",688,1502,English,470,"6,334"
Women Don't Owe You Pretty,"June 11, 2020",Florence Given,Nonfiction,3.72,"61,276",193,1502,English,"5,985",81.9k
Deadly Vows,"June 23, 2020",Keri Arthur,Urban Fantasy,4.39,"2,803",338,1502,English,350,915
The Glamourist,"June 16, 2020",Luanne G. Smith,Fantasy,4.16,"16,101",282,1502,English,"5,228",14.9k
Billionaire Wilderness: The Ultra-Wealthy and the Remaking of the American West,"March 3, 2020",Justin Farrell,Nonfiction,3.69,"1,687",380,1507,English,439,"6,318"
Ghosts of Harvard,"May 5, 2020",Francesca Serritella,Mystery,3.69,"8,093",480,1507,English,778,33.6k
Whiskey Lullaby,"September 28, 2020",Liliana Hart,Mystery,4.41,"1,471",309,1507,English,471,389
The Will and the Wilds,"January 21, 2020",Charlie N. Holmberg,Fantasy,3.92,"9,964",267,1507,English,"2,870",11.7k
Archangel's Sun,"November 24, 2020",Nalini Singh,Romance,4.41,"10,299",360,1511,English,767,"5,203"
Northernmost,"April 14, 2020",Peter Geye,Fiction,3.82,680,352,1512,English,73,"2,272"
The Best Laid Plans,"April 7, 2020",Cameron Lund,Romance,3.59,"9,343",368,1512,English,279,19.7k
Screening Reality: How Documentary Filmmakers Reimagined America,"February 18, 2020",Jon Wilkman,Film,3.75,16,510,1514,English,4,771
The Other Bennet Sister,"January 9, 2020",Janice Hadlow,Historical Fiction,4.15,"23,359",463,1514,English,"2,098",31.5k
Wicked Bite,"January 28, 2020",Jeaniene Frost,Paranormal,4.3,"9,673",384,1514,English,870,10.4k
"A People Betrayed: A History of Corruption, Political Incompetence and Social Division in Modern Spain","March 5, 2020",Paul Preston,History,4,455,768,1517,English,159,"1,438"
Jane Anonymous,"January 7, 2020",Laurie Faria Stolarz,Young Adult,3.9,"4,519",306,1517,English,135,15.3k
Stranger Ranger,"May 5, 2020",Daisy Prescott,Romance,3.8,"2,417",300,1517,English,360,"4,747"
The Illness Lesson,"February 11, 2020",Clare Beams,Historical Fiction,3.28,"2,911",288,1520,English,371,12.8k
Love Under Quarantine,"May 5, 2020",Kylie Scott,Romance,3.61,"3,172",275,1520,English,922,"3,345"
The Eye You See With: Selected Nonfiction,"March 3, 2020",Robert Stone,Nonfiction,4.16,37,384,1522,English,15,105
In Our Other Lives,"March 3, 2020",Theodore Wheeler,Fiction,3.32,148,254,1523,English,181,"3,762"
City on a Hill: A History of American Exceptionalism,"February 18, 2020",Abram C. Van Engen,History,4.28,65,392,1524,English,22,277
Creatures,"January 7, 2020",Crissy Van Meter,Fiction,3.63,"3,968",256,1524,English,332,14.1k
Disunited Nations: The Scramble for Power in an Ungoverned World,"March 3, 2020",Peter Zeihan,Politics,4.25,"2,960",480,1526,English,"1,059","5,449"
The Hacker and the State: Cyber Attacks and the New Normal of Geopolitics,"February 1, 2020",Ben Buchanan,Technology,4.21,711,406,1527,English,178,"2,062"
Dark and Deepest Red,"January 14, 2020",Anna-Marie McLemore,Fantasy,3.57,"3,494",309,1527,English,212,26.5k
The Napoleonic Wars: A Global History,"February 10, 2020",Alexander Mikaberidze,History,4.33,960,960,1529,English,424,"4,202"
Sisters,"July 1, 2020",Daisy Johnson,Fiction,3.47,"15,239",210,1529,English,881,33.8k
Isolationism: A History of America's Efforts to Shield Itself from the World,"October 1, 2020",Charles A. Kupchan,Politics,3.89,63,368,1531,English,24,430
Beauty,"May 1, 2020",Christina Chiu,Fiction,4.07,200,278,1532,English,18,"2,822"
Singularity Syndrome,"February 22, 2020",Susan Kuchinskas,Science Fiction Fantasy,4.31,13,229,1533,English,11,25
Parakeet,"June 2, 2020",Marie-Helene Bertino,Fiction,3.66,"3,413",240,1533,English,353,14.3k
Kingdom of Nauvoo: The Rise and Fall of a Religious Empire on the American Frontier,"February 25, 2020",Benjamin E. Park,History,4.17,949,320,1535,English,170,"2,608"
"The Scientist and the Spy: A True Story of China, the FBI, and Industrial Espionage","February 4, 2020",Mara Hvistendahl,Nonfiction,3.56,"1,351",336,1536,English,285,"4,086"
The Poet King,"March 24, 2020",Ilana C. Myer,Fantasy,4.01,73,320,1536,English,8,316
The Lucky Star,"February 18, 2020",William T. Vollmann,Fiction,3.69,140,672,1538,English,44,831
The Rule of All,"October 6, 2020",Ashley Saunders,Dystopia,3.94,"1,588",338,1538,English,304,"2,257"
The Room Upstairs: A Supernatural Horror Novel,"February 12, 2020",Iain Rob Wright,Horror,4.18,"1,352",,1540,English,612,819
Golden Gates: Fighting for Housing in America,"February 18, 2020",Conor Dougherty,Nonfiction,4.07,"2,576",288,1541,English,445,"7,377"
"Broken Faith: Inside the Word of Faith Fellowship, One of America's Most Dangerous Cults","February 18, 2020",Mitch Weiss,Nonfiction,4.15,"3,550",416,1542,,733,"4,625"
The Great Offshore Grounds,"August 25, 2020",Vanessa Veselka,Fiction,3.59,"1,935",448,1542,English,170,"9,096"
